% Device,CC1604004
% File name,CC1604004_20161012_105024
% Cast time (UTC),2016-10-12 10:50:24
% Cast time (local),2016-10-12 10:50:24
% Sample type,Cast
% Cast data,Raw
% Location source,GPS
% Default latitude,45
% Default altitude,0
% Start latitude,44.7161038
% Start longitude,-66.7288977
% Start altitude,-5.9600000381469727
% Start GPS horizontal error(Meter),4.320000171661377
% Start GPS vertical error(Meter),9.2200002670288086
% Start GPS number of satellites,5
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),87
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2016-02-18
% Temperature calibration date,2016-02-16
% Pressure calibration date,2016-01-21
% 
Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
65.6,11.023076738630023,12.657979965209961,38290.7734375
65.8,10.852122170584542,12.657142639160156,38301.46875
66,10.670991897583008,12.6622314453125,38311.05859375
66.2,10.49215807233538,12.670402526855469,38321.5703125
66.4,10.313652311052595,12.684080123901367,38317.4140625
66.6,10.136460712977819,12.692621231079102,38312.4296875
66.8,9.9536882128034314,12.701066970825195,38319.79296875
67,9.7581154959542413,12.705535888671875,38322.96875
67.2,9.5691059657505573,12.712203979492188,38312.640625
67.4,9.3646659851074219,12.721982955932617,38319.6015625
67.6,9.1595717838832318,12.726056098937988,38313.16015625
67.8,8.94758061000279,12.727265357971191,38308.9765625
68,8.7401899610246936,12.729278564453125,38314.67578125
68.2,8.52885491507394,12.730010032653809,38288.62890625
68.4,8.3125970023018976,12.728787422180176,38287.54296875
68.6,8.1189907618931354,12.728970527648926,38280.72265625
68.8,7.9148807525634766,12.726649284362793,38295.3125
69,7.715365546090263,12.725704193115234,38280.359375
69.2,7.50928715297154,12.725040435791016,38291.3671875
69.4,7.3123983655657092,12.725156784057617,38285.03515625
69.6,7.1197763170514783,12.724056243896484,38286.9375
69.8,6.919933046613421,12.724519729614258,38282.24609375
70,6.7220581599644245,12.723484039306641,38282.8046875
70.2,6.5297622680664062,12.722064018249512,38268.41015625
70.4,6.3174430302211224,12.722105026245117,38268.48046875
70.6,6.1149695260184149,12.721955299377441,38268.5390625
70.8,5.8980497632707873,12.721294403076172,38268.71875
71,5.6939359392438611,12.721601486206055,38256.70703125
71.2,5.4757001059395929,12.721624374389648,38263.8359375
71.4,5.2834013530186237,12.721353530883789,38246.25
71.6,5.1002960205078125,12.721534729003906,38244.76953125
71.8,4.9234277180262982,12.721901893615723,38238.3515625
72,4.7688868386404852,12.722722053527832,38245.609375
72.2,4.6041635785784045,12.722536087036133,38233.0234375
72.4,4.4414096559797009,12.7225341796875,38240.5390625
72.6,4.2839095251900812,12.721868515014648,38250.76171875
72.8,4.1333044597080768,12.721487045288086,38225.390625
73,3.9840116500854492,12.723064422607422,38230.6640625
73.2,3.7963019779750287,12.722444534301758,38219.65234375
73.4,3.6568577630179266,12.722951889038086,38243.4453125
73.6,3.4878610883440295,12.722768783569336,38219.140625
73.8,3.2955527986798963,12.724555015563965,38244.796875
74,3.0848538534981866,12.724103927612305,38230.40625
74.2,2.87251363481794,12.72559928894043,38232.421875
74.4,2.6555747985839844,12.725791931152344,38230.46875
74.6,2.4373179844447552,12.725741386413574,38236.6875
74.8,2.2249729973929266,12.725661277770996,38228.41015625
75,2.0270704541887561,12.723417282104492,38217.47265625
75.2,1.840004512241908,12.723034858703613,38227.984375
75.4,1.6581895010811945,12.722460746765137,38214.80859375
75.6,1.463894707815987,12.721163749694824,38227.70703125
75.8,1.271240234375,12.71962833404541,38218.48828125
76,1.0733300617762982,12.719779968261719,38208.7265625
76.2,0.87213352748325867,12.718851089477539,38201.69140625
76.4,0.66600935799734984,12.717191696166992,38200
76.6,0.44674832480294313,12.711282730102539,38208.15234375
76.8,0.22682639530726867,12.709831237792969,38204.25
77,0.033832413809639306,12.709939956665039,34211.40625
77.2,-0.023538589477539062,12.660628318786621,7652.99609375
77.4,-0.028364998953682274,12.580724716186523,3304.66455078125
77.6,-0.028267587934221794,12.535097122192383,2585.5712890625
77.8,-0.026197978428431412,12.510563850402832,2176.1357421875
78,-0.022489002772740463,12.49540901184082,1915.774658203125
